case_type,recommended_use,image_name,eval_class,yolo_conf,refined_conf,score_delta,is_tp,visualization_path,caption
failure_fp_boosted,failure_case,c7d8260d-9d45834e.jpg,person,0.5263381004333496,0.6568163633346558,0.13047826290130615,0,/content/drive/MyDrive/Dissertation/visualizations/gt_supervised_cv_failure_cases_500/01_failure_fp_boosted_c7d8260d-9d45834e.png,"failure_fp_boosted: person in c7d8260d-9d45834e.jpg. YOLO=0.526, refined=0.657, delta=+0.130, label=FP, IoU 0.00. False positive whose confidence increased after refinement; shows risk of naive contextual boosting."
failure_fp_boosted,failure_case,bfb5e668-73628b9f.jpg,person,0.4737039506435394,0.6031861305236816,0.12948217988014227,0,/content/drive/MyDrive/Dissertation/visualizations/gt_supervised_cv_failure_cases_500/02_failure_fp_boosted_bfb5e668-73628b9f.png,"failure_fp_boosted: person in bfb5e668-73628b9f.jpg. YOLO=0.474, refined=0.603, delta=+0.129, label=FP, IoU 0.29. False positive whose confidence increased after refinement; shows risk of naive contextual boosting."
failure_fp_boosted,failure_case,c0deebc1-ff77802c.jpg,car,0.5365645289421082,0.6654545068740845,0.12888997793197632,0,/content/drive/MyDrive/Dissertation/visualizations/gt_supervised_cv_failure_cases_500/03_failure_fp_boosted_c0deebc1-ff77802c.png,"failure_fp_boosted: car in c0deebc1-ff77802c.jpg. YOLO=0.537, refined=0.665, delta=+0.129, label=FP, IoU 0.41. False positive whose confidence increased after refinement; shows risk of naive contextual boosting."
failure_fp_boosted,failure_case,c51ec845-99c75a49.jpg,person,0.4174061417579651,0.541435718536377,0.12402957677841187,0,/content/drive/MyDrive/Dissertation/visualizations/gt_supervised_cv_failure_cases_500/04_failure_fp_boosted_c51ec845-99c75a49.png,"failure_fp_boosted: person in c51ec845-99c75a49.jpg. YOLO=0.417, refined=0.541, delta=+0.124, label=FP, IoU 0.00. False positive whose confidence increased after refinement; shows risk of naive contextual boosting."
failure_tp_suppressed,failure_case,bbf5747b-35f769d6.jpg,car,0.720866322517395,0.6624282002449036,-0.058438122272491455,1,/content/drive/MyDrive/Dissertation/visualizations/gt_supervised_cv_failure_cases_500/05_failure_tp_suppressed_bbf5747b-35f769d6.png,"failure_tp_suppressed: car in bbf5747b-35f769d6.jpg. YOLO=0.721, refined=0.662, delta=-0.058, label=TP, IoU 0.93. True positive whose confidence decreased after refinement; shows potential recall risk."
failure_tp_suppressed,failure_case,c928c559-b70b74cf.jpg,car,0.6740360260009766,0.6173874735832214,-0.05664855241775513,1,/content/drive/MyDrive/Dissertation/visualizations/gt_supervised_cv_failure_cases_500/06_failure_tp_suppressed_c928c559-b70b74cf.png,"failure_tp_suppressed: car in c928c559-b70b74cf.jpg. YOLO=0.674, refined=0.617, delta=-0.057, label=TP, IoU 0.92. True positive whose confidence decreased after refinement; shows potential recall risk."
failure_tp_suppressed,failure_case,c315b14e-429b1108.jpg,car,0.4572167098522186,0.4052604138851166,-0.051956295967101995,1,/content/drive/MyDrive/Dissertation/visualizations/gt_supervised_cv_failure_cases_500/07_failure_tp_suppressed_c315b14e-429b1108.png,"failure_tp_suppressed: car in c315b14e-429b1108.jpg. YOLO=0.457, refined=0.405, delta=-0.052, label=TP, IoU 0.73. True positive whose confidence decreased after refinement; shows potential recall risk."
failure_tp_suppressed,failure_case,c6d7400d-8a08045e.jpg,car,0.5285985469818115,0.4785470366477966,-0.05005151033401495,1,/content/drive/MyDrive/Dissertation/visualizations/gt_supervised_cv_failure_cases_500/08_failure_tp_suppressed_c6d7400d-8a08045e.png,"failure_tp_suppressed: car in c6d7400d-8a08045e.jpg. YOLO=0.529, refined=0.479, delta=-0.050, label=TP, IoU 0.76. True positive whose confidence decreased after refinement; shows potential recall risk."
contrast_fp_suppressed,contrast_positive_case,bea64506-a82db0f9.jpg,bicycle,0.6134369373321533,0.5129321217536926,-0.1005048155784607,0,/content/drive/MyDrive/Dissertation/visualizations/gt_supervised_cv_failure_cases_500/09_contrast_fp_suppressed_bea64506-a82db0f9.png,"contrast_fp_suppressed: bicycle in bea64506-a82db0f9.jpg. YOLO=0.613, refined=0.513, delta=-0.101, label=FP, IoU 0.00. False positive whose confidence decreased; useful contrast to failure cases."
contrast_fp_suppressed,contrast_positive_case,b4aabd48-89db54e4.jpg,bicycle,0.5155715346336365,0.4235062599182129,-0.09206527471542358,0,/content/drive/MyDrive/Dissertation/visualizations/gt_supervised_cv_failure_cases_500/10_contrast_fp_suppressed_b4aabd48-89db54e4.png,"contrast_fp_suppressed: bicycle in b4aabd48-89db54e4.jpg. YOLO=0.516, refined=0.424, delta=-0.092, label=FP, IoU 0.00. False positive whose confidence decreased; useful contrast to failure cases."
contrast_tp_boosted,contrast_positive_case,c9557697-8a2ab930.jpg,car,0.5626919269561768,0.6993186473846436,0.1366267204284668,1,/content/drive/MyDrive/Dissertation/visualizations/gt_supervised_cv_failure_cases_500/11_contrast_tp_boosted_c9557697-8a2ab930.png,"contrast_tp_boosted: car in c9557697-8a2ab930.jpg. YOLO=0.563, refined=0.699, delta=+0.137, label=TP, IoU 0.82. True positive whose confidence increased; useful contrast to failure cases."
contrast_tp_boosted,contrast_positive_case,c57a44ff-1a53cea4.jpg,person,0.4081844985485077,0.5445908904075623,0.13640639185905457,1,/content/drive/MyDrive/Dissertation/visualizations/gt_supervised_cv_failure_cases_500/12_contrast_tp_boosted_c57a44ff-1a53cea4.png,"contrast_tp_boosted: person in c57a44ff-1a53cea4.jpg. YOLO=0.408, refined=0.545, delta=+0.136, label=TP, IoU 0.81. True positive whose confidence increased; useful contrast to failure cases."
