subset_dimension,subset_value,num_images,num_detections,num_gt_objects,method,threshold,tp,fp,fn,precision,recall,f1,AP@0.5,f1_delta_vs_yolo,AP_delta_vs_yolo
scene,city street,450,11124,17922,YOLO baseline,0.25,3755,1426,14167,0.7247635591584636,0.20951902689431984,0.3250660087434532,0.2395413963209762,0.0,0.0
scene,city street,450,11124,17922,YOLO + GCN learned refinement,0.25,3713,1400,14209,0.7261881478584001,0.20717553844437006,0.32237898849576735,0.23921489066587337,-0.0026870202476858562,-0.0003265056551028378
scene,city street,450,11124,17922,YOLO + semantic rule refinement,0.25,3919,1690,14003,0.6986985202353361,0.21866979131793327,0.33309251625515274,0.23974961514100562,0.008026507511699532,0.0002082188200294155
scene,city street,450,11124,17922,YOLO + GCN + semantic rule refinement,0.25,3872,1637,14050,0.7028498820112543,0.21604731614775136,0.3305023259784046,0.23939003490448063,0.0054363172349514155,-0.00015136141649557677
scene,highway,35,618,1383,YOLO baseline,0.25,203,69,1180,0.7463235294117647,0.1467823571945047,0.2453172205438066,0.17458501818466038,0.0,0.0
scene,highway,35,618,1383,YOLO + GCN learned refinement,0.25,203,70,1180,0.7435897435897436,0.1467823571945047,0.24516908212560384,0.17451373011236326,-0.00014813841820277007,-7.128807229711542e-05
scene,highway,35,618,1383,YOLO + semantic rule refinement,0.25,212,78,1171,0.7310344827586207,0.15328994938539406,0.2534369396294082,0.17430281777941303,0.008119719085601607,-0.0002822004052473459
scene,highway,35,618,1383,YOLO + GCN + semantic rule refinement,0.25,211,77,1172,0.7326388888888888,0.15256688358640635,0.25254338719329744,0.17429423821608497,0.007226166649490828,-0.00029077996857540533
scene,residential,13,303,507,YOLO baseline,0.25,103,57,404,0.64375,0.20315581854043394,0.3088455772113943,0.2200281431425437,0.0,0.0
scene,residential,13,303,507,YOLO + GCN learned refinement,0.25,103,59,404,0.6358024691358025,0.20315581854043394,0.3079222720478326,0.21901659454557473,-0.0009233051635616496,-0.0010115485969689753
scene,residential,13,303,507,YOLO + semantic rule refinement,0.25,107,62,400,0.6331360946745562,0.21104536489151873,0.3165680473372781,0.22050452426093167,0.00772247012588384,0.00047638111838796404
scene,residential,13,303,507,YOLO + GCN + semantic rule refinement,0.25,109,64,398,0.630057803468208,0.21499013806706113,0.3205882352941177,0.21938624918255734,0.0117426580827234,-0.0006418939599863727
selection_category,dense_traffic,125,3040,5036,YOLO baseline,0.25,1021,424,4015,0.7065743944636678,0.2027402700555997,0.31507483413053544,0.2298004513642592,0.0,0.0
selection_category,dense_traffic,125,3040,5036,YOLO + GCN learned refinement,0.25,1008,403,4028,0.7143869596031184,0.20015885623510724,0.3127035830618893,0.22944879654991118,-0.002371251068646163,-0.0003516548143480125
selection_category,dense_traffic,125,3040,5036,YOLO + semantic rule refinement,0.25,1054,499,3982,0.678686413393432,0.20929308975377284,0.3199271513127941,0.2298161069884352,0.0048523171822586475,1.5655624175991978e-05
selection_category,dense_traffic,125,3040,5036,YOLO + GCN + semantic rule refinement,0.25,1038,461,3998,0.6924616410940627,0.20611596505162827,0.3176740627390972,0.22938364367795225,0.0025992286085617655,-0.000416807686306947
selection_category,general_driving,25,567,846,YOLO baseline,0.25,208,69,638,0.7509025270758123,0.2458628841607565,0.3704363312555654,0.2808072210834819,0.0,0.0
selection_category,general_driving,25,567,846,YOLO + GCN learned refinement,0.25,206,64,640,0.762962962962963,0.24349881796690306,0.36917562724014336,0.28105705416930443,-0.001260704015422054,0.0002498330858225484
selection_category,general_driving,25,567,846,YOLO + semantic rule refinement,0.25,215,79,631,0.7312925170068028,0.2541371158392435,0.3771929824561403,0.2809334527080273,0.0067566512005748924,0.00012623162454539205
selection_category,general_driving,25,567,846,YOLO + GCN + semantic rule refinement,0.25,216,77,630,0.7372013651877133,0.2553191489361702,0.37928007023705,0.2813190881166689,0.008843738981484606,0.0005118670331870079
selection_category,night_low_visibility,75,1480,2675,YOLO baseline,0.25,383,196,2292,0.6614853195164075,0.14317757009345794,0.23540258143822987,0.17136143575443655,0.0,0.0
selection_category,night_low_visibility,75,1480,2675,YOLO + GCN learned refinement,0.25,382,186,2293,0.6725352112676056,0.142803738317757,0.23558433549182853,0.17168936807026658,0.00018175405359865948,0.0003279323158300318
selection_category,night_low_visibility,75,1480,2675,YOLO + semantic rule refinement,0.25,405,222,2270,0.645933014354067,0.15140186915887852,0.24530587522713507,0.17153746716415536,0.009903293788905199,0.0001760314097188076
selection_category,night_low_visibility,75,1480,2675,YOLO + GCN + semantic rule refinement,0.25,397,215,2278,0.6486928104575164,0.14841121495327103,0.24155765135381807,0.17181306854294148,0.006155069915588202,0.0004516327885049354
selection_category,occlusion_like,100,2334,3713,YOLO baseline,0.25,805,298,2908,0.729827742520399,0.2168058173983302,0.33430232558139533,0.24834449471241818,0.0,0.0
selection_category,occlusion_like,100,2334,3713,YOLO + GCN learned refinement,0.25,800,301,2913,0.7266121707538601,0.21545919741448963,0.3323639385126714,0.24755799899326242,-0.0019383870687239568,-0.0007864957191557609
selection_category,occlusion_like,100,2334,3713,YOLO + semantic rule refinement,0.25,850,350,2863,0.7083333333333334,0.22892539725289524,0.34602076124567477,0.24871316357021983,0.011718435664279436,0.0003686688578016517
selection_category,occlusion_like,100,2334,3713,YOLO + GCN + semantic rule refinement,0.25,841,346,2872,0.7085088458298231,0.22650148128198222,0.34326530612244893,0.2478440334534395,0.0089629805410536,-0.0005004612589786794
selection_category,pedestrian_vehicle,125,3547,5828,YOLO baseline,0.25,1240,430,4588,0.7425149700598802,0.2127659574468085,0.3307548679647906,0.24479340855017803,0.0,0.0
selection_category,pedestrian_vehicle,125,3547,5828,YOLO + GCN learned refinement,0.25,1229,439,4599,0.736810551558753,0.21087851750171585,0.3279082177161152,0.24442676586664355,-0.002846650248675364,-0.0003666426835344794
selection_category,pedestrian_vehicle,125,3547,5828,YOLO + semantic rule refinement,0.25,1295,525,4533,0.7115384615384616,0.2222031571722718,0.33865062761506276,0.24513351536510747,0.007895759650272172,0.0003401068149294362
selection_category,pedestrian_vehicle,125,3547,5828,YOLO + GCN + semantic rule refinement,0.25,1292,526,4536,0.7106710671067107,0.22168840082361016,0.3379544860057546,0.24469807882064168,0.007199618040964029,-9.53297295363531e-05
selection_category,traffic_control,50,1174,1797,YOLO baseline,0.25,427,150,1370,0.7400346620450606,0.2376182526432944,0.35973041280539175,0.26077809456221973,0.0,0.0
selection_category,traffic_control,50,1174,1797,YOLO + GCN learned refinement,0.25,418,150,1379,0.7359154929577465,0.23260990539788537,0.35348837209302325,0.26054235409093535,-0.006242040712368502,-0.0002357404712843847
selection_category,traffic_control,50,1174,1797,YOLO + semantic rule refinement,0.25,442,173,1355,0.71869918699187,0.2459654980523094,0.3665008291873964,0.2607454597796115,0.0067704163820046515,-3.263478260823183e-05
selection_category,traffic_control,50,1174,1797,YOLO + GCN + semantic rule refinement,0.25,432,168,1365,0.72,0.24040066777963273,0.36045056320400504,0.2605277308342112,0.000720150398613284,-0.00025036372800851803
timeofday,dawn/dusk,44,1145,1768,YOLO baseline,0.25,378,149,1390,0.7172675521821632,0.21380090497737556,0.32941176470588235,0.25082899846803397,0.0,0.0
timeofday,dawn/dusk,44,1145,1768,YOLO + GCN learned refinement,0.25,377,149,1391,0.7167300380228137,0.21323529411764705,0.32868352223190933,0.24994263027586205,-0.0007282424739730176,-0.0008863681921719158
timeofday,dawn/dusk,44,1145,1768,YOLO + semantic rule refinement,0.25,396,177,1372,0.6910994764397905,0.2239819004524887,0.33831695856471594,0.2506464142269238,0.008905193858833593,-0.00018258424111017302
timeofday,dawn/dusk,44,1145,1768,YOLO + GCN + semantic rule refinement,0.25,389,164,1379,0.7034358047016275,0.22002262443438914,0.33520034467901766,0.2497058672612561,0.0057885799731353105,-0.001123131206777872
timeofday,daytime,355,9143,14392,YOLO baseline,0.25,3299,1181,11093,0.7363839285714285,0.22922456920511394,0.3496184824077999,0.2599446615097175,0.0,0.0
timeofday,daytime,355,9143,14392,YOLO + GCN learned refinement,0.25,3261,1161,11131,0.737449118046133,0.22658421345191773,0.34665674497714466,0.25971226459228225,-0.0029617374306552535,-0.00023239691743526247
timeofday,daytime,355,9143,14392,YOLO + semantic rule refinement,0.25,3435,1384,10957,0.7128034862004565,0.23867426347971096,0.35760762063401175,0.26015139061676673,0.007989138226211834,0.00020672910704921943
timeofday,daytime,355,9143,14392,YOLO + GCN + semantic rule refinement,0.25,3402,1361,10990,0.7142557211841276,0.23638132295719844,0.3552075176194205,0.259878020917395,0.005589035211620574,-6.664059232253106e-05
timeofday,night,101,1854,3735,YOLO baseline,0.25,407,237,3328,0.6319875776397516,0.10896921017402945,0.1858871888559032,0.12866819245774153,0.0,0.0
timeofday,night,101,1854,3735,YOLO + GCN learned refinement,0.25,405,233,3330,0.6347962382445141,0.10843373493975904,0.18522753258632518,0.12858253889163096,-0.0006596562695780073,-8.565356611056618e-05
timeofday,night,101,1854,3735,YOLO + semantic rule refinement,0.25,430,287,3305,0.599721059972106,0.11512717536813923,0.19317160826594792,0.12893439409848073,0.007284419410044735,0.0002662016407392054
timeofday,night,101,1854,3735,YOLO + GCN + semantic rule refinement,0.25,425,268,3310,0.6132756132756133,0.11378848728246319,0.1919602529358627,0.12885369393360735,0.0060730640799595,0.00018550147586582355
weather,clear,206,4458,8063,YOLO baseline,0.25,1412,577,6651,0.709904474610357,0.1751209227334739,0.2809391165937127,0.19998842078576423,0.0,0.0
weather,clear,206,4458,8063,YOLO + GCN learned refinement,0.25,1395,571,6668,0.7095625635808749,0.17301252635495473,0.2781932396051451,0.1995823228281564,-0.002745876988567597,-0.0004060979576078205
weather,clear,206,4458,8063,YOLO + semantic rule refinement,0.25,1472,687,6591,0.6817971283001389,0.1825623217164827,0.28800626100567406,0.20023649199366036,0.007067144411961379,0.00024807120789613335
weather,clear,206,4458,8063,YOLO + GCN + semantic rule refinement,0.25,1450,652,6613,0.6898192197906755,0.17983380875604613,0.2852926709296606,0.19977781766940084,0.004353554335947918,-0.0002106031163633948
weather,overcast,98,2600,3921,YOLO baseline,0.25,921,303,3000,0.7524509803921569,0.23488905891354248,0.3580174927113703,0.2705560890484511,0.0,0.0
weather,overcast,98,2600,3921,YOLO + GCN learned refinement,0.25,902,308,3019,0.7454545454545455,0.23004335628666156,0.35158838433053985,0.26960658842979357,-0.0064291083808304395,-0.0009495006186575061
weather,overcast,98,2600,3921,YOLO + semantic rule refinement,0.25,954,358,2967,0.7271341463414634,0.2433052792654935,0.36460921077775654,0.27039164985178815,0.006591718066386254,-0.0001644391966629244
weather,overcast,98,2600,3921,YOLO + GCN + semantic rule refinement,0.25,944,359,2977,0.7244819646968534,0.24075490946187197,0.3614088820826952,0.2694761202752233,0.0033913893713249377,-0.0010799687732278018
weather,partly cloudy,57,1284,2280,YOLO baseline,0.25,472,158,1808,0.7492063492063492,0.20701754385964913,0.3243986254295533,0.241010025957077,0.0,0.0
